cytoband	8q24.21	10q22.3	14q11.2	
q value	0.017098	0.017098	0.017098	
residual q value	0.017098	0.017098	0.017098	
wide peak boundaries	chr8:125426699-129759393	chr10:77782504-82242712	chr14:22124031-22490614	
genes in wide peak	MYC	ANXA11	[DAD1]	
	POU5F1B	MAT1A		
	PVT1	RPS24		
	TRIB1	SFTPD		
	GSDMC	MBL1P		
	CCDC26	DLG5		
	FAM84B	PPIF		
	TMEM75	NRG3		
	CASC8	POLR3A		
	LINC00977	ZMIZ1		
	LINC00861	TMEM254		
	CASC11	TSPAN14		
	MIR1205	FAM213A		
	MIR1206	DYDC2		
	MIR1207	DYDC1		
	MIR1204	EIF5AL1		
	MIR1208	TMEM254-AS1		
	MIR3686	PLAC9		
	CCAT1	ZCCHC24		
	PCAT1	ZMIZ1-AS1		
	CCAT2	SH2D4B		
	PRNCR1	LINC00595		
	LOC101927657	LINC00857		
	LINC00824	LOC642361		
	CASC21	BEND3P3		
	CASC19	SFTPA1		
	PCAT2	SFTPA2		
		NUTM2B		
		LOC729815		
		DLG5-AS1		
		LOC100130698		
		LINC00856		
		BMS1P21		
		NUTM2B-AS1		
		LOC101929574		
		NRG3-AS1		
		LOC102723703		
		LOC105378385		
