Arm	# Genes	Amp frequency	Amp frequency score	Amp z-score	Amp q-value	Del frequency	Del frequency score	Del z-score	Del q-value
1p	3092	0.00	0.00	-1.12	0.935	0.10	0.10	0.625	0.946
1q	2863	0.14	0.15	1.47	0.313	0.05	0.06	-0.201	0.946
2p	1500	0.00	0.00	-1.51	0.935	0.00	0.00	-1.51	0.946
2q	2495	0.00	0.00	-1.28	0.935	0.05	0.05	-0.488	0.946
3p	1531	0.05	0.05	-0.661	0.935	0.10	0.10	0.0356	0.946
3q	1708	0.10	0.10	0.0979	0.935	0.05	0.05	-0.613	0.946
4p	693	0.00	0.00	-1.5	0.935	0.19	0.19	1.05	0.833
4q	1467	0.00	0.00	-1.28	0.935	0.29	0.29	2.86	0.028
5p	456	0.19	0.20	1.07	0.477	0.05	0.06	-0.796	0.946
5q	2185	0.00	0.00	-1.2	0.935	0.24	0.24	2.58	0.0491
6p	1664	0.10	0.11	0.158	0.935	0.10	0.11	0.158	0.946
6q	1304	0.10	0.10	-0.0409	0.935	0.05	0.05	-0.72	0.946
7p	926	0.33	0.33	3.23	0.0061	0.00	0.00	-1.32	0.946
7q	1717	0.29	0.29	3.03	0.00985	0.00	0.00	-1.24	0.946
8p	795	0.19	0.19	1.1	0.477	0.00	0.00	-1.48	0.946
8q	1249	0.24	0.24	2.01	0.137	0.00	0.00	-1.36	0.946
9p	621	0.05	0.06	-0.824	0.935	0.14	0.15	0.44	0.946
9q	1610	0.10	0.11	0.139	0.935	0.10	0.11	0.139	0.946
10p	767	0.05	0.05	-0.967	0.935	0.00	0.00	-1.61	0.946
10q	1968	0.05	0.05	-0.65	0.935	0.00	0.00	-1.39	0.946
11p	1162	0.05	0.05	-0.813	0.935	0.05	0.05	-0.813	0.946
11q	2133	0.05	0.05	-0.493	0.935	0.10	0.10	0.258	0.946
12p	804	0.14	0.16	0.6	0.844	0.10	0.11	-0.04	0.946
12q	2055	0.10	0.11	0.304	0.935	0.10	0.11	0.304	0.946
13q	1092	0.48	0.48	5.45	4.99e-07	0.00	0.00	-1.15	0.946
14q	1829	0.00	0.00	-1.3	0.935	0.19	0.19	1.59	0.449
15q	2082	0.00	0.00	-1.29	0.935	0.14	0.14	0.947	0.858
16p	1378	0.19	0.19	1.36	0.349	0.00	0.00	-1.38	0.946
16q	1070	0.24	0.24	1.92	0.137	0.00	0.00	-1.39	0.946
17p	937	0.00	0.00	-1.5	0.935	0.14	0.14	0.463	0.946
17q	2298	0.05	0.05	-0.443	0.935	0.10	0.10	0.325	0.946
18p	212	0.10	0.12	-0.122	0.935	0.19	0.21	1.08	0.833
18q	644	0.00	0.00	-1.37	0.935	0.33	0.33	3.07	0.028
19p	1331	0.10	0.11	0.0446	0.935	0.10	0.11	0.0446	0.946
19q	2402	0.19	0.19	1.92	0.137	0.00	0.00	-1.2	0.946
20p	583	0.43	0.43	4.38	7.99e-05	0.00	0.00	-1.27	0.946
20q	1092	0.62	0.62	7.56	7.77e-13	0.00	0.00	-0.982	0.946
21p	92	0.10	0.10	-0.402	0.935	0.05	0.05	-1.01	0.946
21q	750	0.10	0.10	-0.215	0.935	0.05	0.05	-0.856	0.946
22q	1258	0.05	0.07	-0.472	0.935	0.29	0.30	2.88	0.028
