Arm	# Genes	Amp frequency	Amp frequency score	Amp z-score	Amp q-value	Del frequency	Del frequency score	Del z-score	Del q-value
1p	3092	0.00	0.00	-0.0184	0.916	0.06	0.06	52.9	0
1q	2863	0.06	0.06	1.78	0.251	0.06	0.06	1.78	0.215
2p	1500	0.06	0.06	-0.422	0.916	0.00	0.00	-1.24	0.935
2q	2495	0.06	0.06	0.597	0.916	0.00	0.00	-0.739	0.935
3p	1531	0.06	0.06	-0.34	0.916	0.06	0.06	-0.34	0.935
3q	1708	0.00	0.00	-1.18	0.916	0.00	0.00	-1.18	0.935
4p	693	0.00	0.00	-1.36	0.916	0.28	0.28	1.96	0.187
4q	1467	0.00	0.00	-1.1	0.916	0.28	0.28	2.94	0.0217
5p	456	0.11	0.14	0.0598	0.916	0.22	0.25	1.31	0.423
5q	2185	0.00	0.00	-0.739	0.916	0.39	0.39	6.83	8.53e-11
6p	1664	0.06	0.06	-0.245	0.916	0.06	0.06	-0.245	0.935
6q	1304	0.06	0.06	-0.487	0.916	0.06	0.06	-0.487	0.935
7p	926	0.22	0.24	1.6	0.316	0.06	0.07	-0.49	0.935
7q	1717	0.22	0.24	2.62	0.0539	0.06	0.07	-0.0033	0.935
8p	795	0.17	0.17	0.614	0.916	0.00	0.00	-1.43	0.935
8q	1249	0.22	0.22	1.82	0.251	0.00	0.00	-1.22	0.935
9p	621	0.11	0.12	-0.0449	0.916	0.11	0.12	-0.0449	0.935
9q	1610	0.11	0.12	0.624	0.916	0.06	0.06	-0.221	0.935
10p	767	0.17	0.17	0.592	0.916	0.00	0.00	-1.44	0.935
10q	1968	0.06	0.06	-0.0546	0.916	0.00	0.00	-1.03	0.935
11p	1162	0.00	0.00	-1.34	0.916	0.11	0.11	0.149	0.935
11q	2133	0.00	0.00	-0.917	0.916	0.11	0.11	1.19	0.468
12p	804	0.06	0.06	-0.834	0.916	0.00	0.00	-1.52	0.935
12q	2055	0.06	0.06	0.0283	0.916	0.00	0.00	-0.986	0.935
13q	1092	0.33	0.33	3.18	0.0147	0.00	0.00	-1.18	0.935
14q	1829	0.06	0.06	-0.176	0.916	0.00	0.00	-1.09	0.935
15q	2082	0.06	0.06	0.0554	0.916	0.00	0.00	-0.972	0.935
16p	1378	0.11	0.11	0.324	0.916	0.00	0.00	-1.25	0.935
16q	1070	0.17	0.18	0.955	0.849	0.06	0.07	-0.488	0.935
17p	937	0.00	0.00	-1.38	0.916	0.17	0.17	0.731	0.775
17q	2298	0.00	0.00	-0.831	0.916	0.11	0.11	1.49	0.344
18p	212	0.06	0.07	-0.824	0.916	0.22	0.24	0.984	0.591
18q	644	0.00	0.00	-1.38	0.916	0.28	0.28	1.91	0.187
19p	1331	0.06	0.06	-0.532	0.916	0.00	0.00	-1.31	0.935
19q	2402	0.00	0.00	-0.82	0.916	0.00	0.00	-0.82	0.935
20p	583	0.33	0.33	2.55	0.0539	0.00	0.00	-1.34	0.935
20q	1092	0.39	0.39	3.95	0.00154	0.00	0.00	-1.13	0.935
21p	92	0.17	0.19	0.343	0.916	0.11	0.13	-0.245	0.935
21q	750	0.11	0.12	0.0362	0.916	0.11	0.12	0.0362	0.935
22q	1258	0.06	0.07	-0.307	0.916	0.22	0.24	1.96	0.187
