Sample	gain_loss	neutral	proportion
PD62027a	56437926	2884306698	0.0191917127177242
PD62027c	138700760	2802159102	0.0471633353877914
PD62028c	1830480156	1068877057	0.631339990737457
PD62029d	994727079	1924637351	0.340734123077604
PD62030d	8653271	2932040121	0.00294259545165122
PD62031a	81575794	2857278595	0.027757684867047
PD62031c	768502168	2149565071	0.263359993124545
PD62031d	77647506	2862831424	0.0264064146856512
PD62033a	147543063	2793052608	0.0501745494816108
PD62033c	2721946	2937873725	0.000925644428727039
PD62033d	147594539	2792959082	0.0501927725262181
PD62034a	60929241	2879104748	0.0207239920449777
PD62034c	823818270	2113291759	0.280486008990438
PD62036a	2915794	2937673878	0.000991567789196806
PD62036c	895241375	2026757666	0.306379763455918
PD62037a	7515813	2910449150	0.00257570364802218
PD62037c	24908556	2891873641	0.00853973808041588
PD62037d	697188058	2219194217	0.239059215239539
PD62037e	1755248143	1130193876	0.608311701098853
PD62038a	95695573	2845174263	0.0325398872906798
PD62038c	377328589	2543768362	0.129173593115705
PD62038e	14442658	2927121894	0.00490985587590804
PD62039a	1679393142	1245148778	0.574241432654862
PD62039c	1668417144	1265947290	0.568578709811339
PD62039e	481109866	2442391753	0.164566307360064
PD62041a	1280303609	1643097987	0.437949958962805
PD62041c	429218674	2508100803	0.146125975523227
PD62041d	722702291	2216677370	0.245868984054319
PD62042a	1151500982	1740860708	0.398117906892896
PD62042c	2419842341	478249354	0.834977839098359
PD62043a	358809797	2565988578	0.122678472494707
PD62045a	61368198	2879839957	0.020864962548018
PD62045c	33806640	2907177526	0.0114950091846227
PD62046a	1403578243	1534848796	0.477663125329007
PD62047a	2367027	2938897128	0.000804765187776886
PD62048a	662749810	2244892907	0.227933716245509
PD62048c	622583892	2284777316	0.214140537572998
PD62049a	934871444	1965856508	0.322288563239935
PD62051a	2871030053	52716295	0.981969607234889
PD62051c	1792919603	1135124185	0.612326772689644
PD62052a	147831286	2792855506	0.0502710068961333
PD62052c	2722061	2937970030	0.000925653184952916
PD62053a	9281002	2932056924	0.00315536746660778
PD62053c	4221233	2936880190	0.00143525584224642
PD62054a	1931455	2939653547	0.000656603497327731
PD62057a	98973170	2840887040	0.0336659442729081
PD62058c	2646746	2938624195	0.000899864736398659
PD62060c	345565004	2589402842	0.117740643895286
PD62064a	3169040	2936763734	0.00107792940982398
PD62064c	3083438	2936852140	0.00104881141718677
PD62064d	2717896	2937221240	0.000924473560258086
PD62065a	158390649	2781712406	0.0538724820310763
PD62065c	2735748	2937224441	0.000930539131188215
PD62065d	148392570	2791508079	0.050475368972239
PD62065e	2762516	2937197605	0.00093964403811721
PD62066c	951720471	1979554608	0.324677979838275
PD62067a	559765335	2381058352	0.190343044866804
PD62067c	28653609	2891970004	0.00981078454356796
PD62068a	71627681	2869686016	0.0243522753363767
PD62068c	660567724	2232609662	0.228319123188391
PD62068d	907151407	2002620904	0.311760271953457
PD62068e	497473	2941078691	0.000169117837602929
PD62068f	646333	2940921031	0.000219724017851865
PD62068g	42628304	2895768926	0.0145073319443607
PD62070d	4030913	2937288166	0.00137044397147502
PD62072a	25978450	2914474708	0.00883484572074248
PD62073a	115491746	2808548663	0.0394973153053987
PD62074d	2918419	2938021153	0.000992342388733719
PD62075a	277926900	2662256065	0.0945270764807659
PD62075c	411035766	2529048165	0.139804092551942
PD62075d	291501505	2648201947	0.0991601737248972
PD62075e	276752971	2663357699	0.0941301202787717
PD62076c	375130717	2565701407	0.127559378156466
PD62078a	286517167	2654828831	0.0974102221210359
PD62078c	2729367	2938627643	0.000927927820635415
PD62079a	260075905	2681106025	0.0884256435643204
PD62079c	3828312	2937509527	0.00130155466986463
PD62080a	7972133	2931946712	0.00271168471658952
PD62080c	31885984	2901001062	0.0108718759024448
PD62081a	17587761	2922376673	0.00598230400225311
PD62081c	255971175	2658875201	0.0878163518693789
PD62082c	3009241	2938546310	0.0010230100869511
PD62083c	3724596	2937441721	0.00126636701177753
PD62083d	4406445	2936896805	0.00149812672324759
PD62084a	112247421	2806030220	0.0384635853090169
PD62076a	0	2940832124	0
