Sample	gain_loss	neutral	proportion
PD62052a	147831286	2792855506	0.0502710068961333
PD62054a	1931455	2939653547	0.000656603497327731
PD62057a	98973170	2840887040	0.0336659442729081
PD62064a	3169040	2936763734	0.00107792940982398
PD62064d	2717896	2937221240	0.000924473560258086
PD62065c	2735748	2937224441	0.000930539131188215
PD62067a	559765335	2381058352	0.190343044866804
PD62072a	25978450	2914474708	0.00883484572074248
PD62075a	277926900	2662256065	0.0945270764807659
PD62079a	260075905	2681106025	0.0884256435643204
PD62081c	255971058	2658875559	0.0878163044693751
PD62084a	112247421	2806030220	0.0384635853090169
PD62076a	0	2940832124	0
