Sample	gain_loss	neutral	proportion
PD62052a	147831286	2792855506	0.0502710068961333
PD62053a	9281002	2932056924	0.00315536746660778
PD62054a	1931455	2939653547	0.000656603497327731
PD62057a	98973170	2840887040	0.0336659442729081
PD62064a	3169040	2936763734	0.00107792940982398
PD62065c	2735748	2937224441	0.000930539131188215
PD62067a	559765335	2381058352	0.190343044866804
PD62068f	646333	2940921031	0.000219724017851865
PD62072a	25978450	2914474708	0.00883484572074248
PD62073a	115491746	2808548663	0.0394973153053987
PD62075a	277926900	2662256065	0.0945270764807659
PD62078a	286517167	2654828831	0.0974102221210359
PD62079a	260075905	2681106025	0.0884256435643204
PD62080a	7972133	2931946712	0.00271168471658952
PD62081a	17587761	2922376673	0.00598230400225311
PD62084a	112247421	2806030220	0.0384635853090169
PD62076a	0	2940832124	0
