Sample	gain_loss	neutral	proportion
PD62027c	138700760	2802159102	0.0471633353877914
PD62028c	1830480156	1068877057	0.631339990737457
PD62030d	8653271	2932040121	0.00294259545165122
PD62031c	768502168	2149565071	0.263359993124545
PD62033d	147594539	2792959082	0.0501927725262181
PD62034c	823818270	2113291759	0.280486008990438
PD62037d	697188058	2219194217	0.239059215239539
PD62038e	14442658	2927121894	0.00490985587590804
PD62039c	1668417144	1265947290	0.568578709811339
PD62045c	33806640	2907177526	0.0114950091846227
PD62051c	1792919603	1135124185	0.612326772689644
