Sample	gain_loss	neutral	proportion
PD62027a	56437926	2884306698	0.0191917127177242
PD62028c	1830480156	1068877057	0.631339990737457
PD62031a	81575794	2857278595	0.027757684867047
PD62033a	147543063	2793052608	0.0501745494816108
PD62034a	60929241	2879104748	0.0207239920449777
PD62037a	7515813	2910449150	0.00257570364802218
PD62037c	24908556	2891873641	0.00853973808041588
PD62038a	95695573	2845174263	0.0325398872906798
PD62038c	377328589	2543768362	0.129173593115705
PD62039a	1679393142	1245148778	0.574241432654862
PD62041a	1280303609	1643097987	0.437949958962805
PD62042a	1151500982	1740860708	0.398117906892896
PD62043a	358809797	2565988578	0.122678472494707
PD62046a	1403578243	1534848796	0.477663125329007
PD62047a	2367027	2938897128	0.000804765187776886
PD62049a	934871444	1965856508	0.322288563239935
PD62051a	2871030053	52716295	0.981969607234889
