sample	min_cov	min_prop	bin	pass	bases	mean	11+	21+	31+	41+	51+	61+	71+	81+	91+	101+	111+	121+	131+	141+	151+
PD62027a	20	80	21+	true	50337604	73.5871	97.0400	89.0700	78.4700	67.6700	57.5100	48.3000	40.1500	33.1900	27.3700	22.5800	18.6700	15.4800	12.9000	10.8000	9.0800
PD62027b	20	80	31+	true	50337604	90.9369	98.1800	93.8100	86.7700	78.4800	70.0100	61.7900	54	46.7800	40.1800	34.2400	29.0400	24.5400	20.6600	17.3900	14.6300
PD62027c	20	80	41+	true	50337604	109.5173	98.7900	95.6100	90.1600	83.4400	76.3200	69.2400	62.3800	55.8000	49.5700	43.8000	38.5100	33.7300	29.4600	25.7100	22.4100
PD62028a	20	80	41+	true	50337604	101.4974	98.6100	94.7600	88.4600	80.9000	72.9900	65.2300	57.8800	51.0800	44.8600	39.2600	34.2500	29.8100	25.9000	22.4700	19.4700
PD62028b	20	80	21+	true	50337604	53.8622	94.0800	81.3900	67.1200	53.7800	42.2300	32.7400	25.1700	19.3100	14.8300	11.4300	8.8500	6.8700	5.3700	4.2300	3.3400
PD62028c	20	80	41+	true	50337604	111.8433	98.5600	94.6800	88.7000	81.7700	74.5800	67.5200	60.7700	54.4200	48.5300	43.1500	38.2800	33.9100	30	26.5400	23.4900
PD62029b	20	80	11+	false	50337604	39.9094	90.2400	71.6000	53.3800	38.5100	27.1800	18.8900	13.0300	9	6.2500	4.3800	3.1000	2.2200	1.6100	1.1900	0.8800
PD62029c	20	80	31+	true	50337604	88.0861	97.7900	93.2400	86.0900	77.4000	68.3700	59.6700	51.6600	44.4800	38.0800	32.4900	27.6200	23.4300	19.8100	16.7100	14.0800
PD62029d	20	80	51+	true	50337604	117.0200	98.8600	96.5800	92.5200	87.0300	80.7500	74.1900	67.6600	61.2800	55.1600	49.3500	43.8900	38.8200	34.1900	30.0100	26.2500
PD62030a	20	80	11+	false	50337604	44.8526	94.1100	79	61.8600	46.4500	33.7700	23.9500	16.6500	11.4500	7.8200	5.3300	3.6600	2.5400	1.7900	1.2700	0.9200
PD62030b	20	80	31+	true	50337604	92.0565	97.9400	93.3000	86.2400	77.9600	69.4500	61.2400	53.6400	46.7100	40.4500	34.8800	29.9800	25.6900	21.9500	18.6900	15.8900
PD62030c	20	80	31+	true	50337604	94.3489	97.7900	92.6500	85.3900	77.3500	69.2800	61.4400	54.0400	47.1700	40.9300	35.3300	30.4100	26.1300	22.4400	19.2500	16.5300
PD62030d	20	80	31+	true	50337604	85.4204	97.8700	92.6500	84.7700	75.7300	66.6900	58.1100	50.2300	43.0900	36.7000	31.0900	26.2100	21.9900	18.4000	15.3700	12.8100
PD62031a	20	80	21+	true	50337604	58.6995	95.0300	84.8900	72.0200	59.1900	47.8800	38.3200	30.3800	23.9100	18.6700	14.4900	11.1700	8.5600	6.5300	4.9700	3.7600
PD62031b	20	80	31+	true	50337604	86.0123	97.6800	92.1200	83.9600	74.8800	65.8700	57.4100	49.6400	42.6500	36.4400	30.9900	26.2600	22.2000	18.7300	15.7800	13.3000
PD62031c	20	80	31+	true	50337604	99.9382	98.2000	93.6900	86.9800	79.4500	71.7900	64.3200	57.1400	50.3500	44.0900	38.3900	33.3000	28.8400	24.9600	21.5900	18.6700
PD62031d	20	80	31+	true	50337604	92.5896	98.1200	93.2900	86.1200	77.9700	69.7800	61.8000	54.2500	47.2300	40.8200	35.0600	29.9500	25.5100	21.7000	18.4200	15.6200
