gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	qind_cv	pglobal_cv	qglobal_cv
APC	0	0	9	0	7	0	503.990340684193	503.990340684193	389.262826164536	0.560228969994518	2.44249065417534e-15	2.22044604925031e-15	1.54220719995312e-16	0.933424016036939	4.69349004106334e-11	4.2668091282394e-11	2.96350535542991e-12	0	0
KRAS	0	7	0	0	0	665.611904300031	0	0	0	1.18904885937354e-13	0.960505092177167	1.10622622173651e-12	1	2.2848762881722e-09	0.988503080499225	1.06286215384443e-08	1	3.15607540102292e-11	3.03235724530282e-07
RBM10	0	2	2	1	1	13.2456883648522	215.627607556818	215.627607556818	169.873174407233	0.0147344110866012	1.99893361818582e-06	7.07068032967939e-06	0.00586923043557395	0.933424016036939	0.0192057542035293	0.0452900644050397	1	7.46889943559204e-07	0.00478407905181122
RNF43	1	0	2	0	1	0	693.923281970169	693.923281970169	201.72439460859	0.797906775564918	2.22496442985332e-05	0.000105077516893815	0.00494483465601937	0.933424016036939	0.142516388280204	0.403833912926308	1	8.03818832717518e-06	0.0386154567237496
TP53	0	2	0	0	1	40.068292804314	0	0	401.400825820138	0.00180167684240806	0.927471361279395	0.00758005888490987	0.00248813497479548	0.933424016036939	0.988503080499225	0.99896660843649	1	0.000224030173285983	0.860992761972689
IFNA7	0	3	0	0	0	164.400402471977	0	0	0	5.8115611119014e-06	0.96388222512077	3.43145042730475e-05	1	0.0558374791631486	0.988503080499225	0.16484687852772	1	0.000387065632647787	0.999999691626581
PAN3	0	2	0	0	1	35.5548901038932	0	0	178.099015059836	0.00226356784649673	0.916590682503474	0.00931481318427252	0.00559891898641775	0.933424016036939	0.988503080499225	0.99896660843649	1	0.000566449743563124	0.999999691626581
ZNF625	0	1	0	0	1	27.2615448605458	0	0	423.999799927974	0.0304391513617499	0.919824838443378	0.0956342314362135	0.00235567697719765	0.933424016036939	0.988503080499225	0.99896660843649	1	0.00211724714025985	0.999999691626581
MEP1A	0	3	0	0	0	60.0375212464191	0	0	0	0.000111143477595887	0.924829181172369	0.000558905339204108	1	0.711911021827525	0.988503080499225	0.99896660843649	1	0.00474484388951191	0.999999691626581
KRIT1	0	1	0	0	1	17.9362573686664	0	0	214.588772555135	0.0487147826348615	0.90340534796497	0.142282406838825	0.00464909590488952	0.933424016036939	0.988503080499225	0.99896660843649	1	0.00550422880673407	0.999999691626581
FGF22	0	0	1	0	0	0	2891.41199728103	2891.41199728103	0	0.880307446605435	0.000188769906982245	0.000929203133908207	1	0.933424016036939	0.773797960906319	0.99896660843649	1	0.00741614042722016	0.999999691626581
DHRS4L2	0	0	0	1	0	0	2721.3708019504	2721.3708019504	0	0.915906372683584	0.00020134210056888	0.000992947008125578	1	0.933424016036939	0.773797960906319	0.99896660843649	1	0.0078590100060999	0.999999691626581
AMER1	0	0	2	0	0	0	77.1284709786989	77.1284709786989	0	0.443301185788557	0.000413398151845046	0.00106726462898787	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.00837018969323677	0.999999691626581
MYO1A	0	1	0	0	1	14.2549016902574	0	0	151.486518556642	0.0630796478819831	0.894038474973459	0.176202266183057	0.00657922906333342	0.933424016036939	0.988503080499225	0.99896660843649	1	0.00899592865090626	0.999999691626581
KDELR1	0	0	0	0	1	0	0	0	742.497302221288	0.869566015158659	0.962598116303486	0.985523878391652	0.00134588806814407	0.933424016036939	0.988503080499225	0.99896660843649	1	0.0101142123686462	0.999999691626581
RAN	0	0	0	0	1	0	0	0	728.810716005227	0.838304627557093	0.944831891266009	0.977052441469292	0.00137114540320664	0.933424016036939	0.988503080499225	0.99896660843649	1	0.0102021043014329	0.999999691626581
HACD4	0	0	0	0	1	0	0	0	678.763628210877	0.86473759237268	0.949770586429846	0.983642114120853	0.00147216827363458	0.933424016036939	0.988503080499225	0.99896660843649	1	0.0109149711243181	0.999999691626581
METTL27	0	0	0	0	1	0	0	0	642.894005581847	0.859562119403068	0.964742544246205	0.983508154210979	0.00155424173414158	0.933424016036939	0.988503080499225	0.99896660843649	1	0.0114391908864673	0.999999691626581
OR5W2	0	0	0	0	1	0	0	0	508.527091231943	0.646482402795654	0.931003902265499	0.896793090009449	0.00196450655856714	0.933424016036939	0.988503080499225	0.99896660843649	1	0.012933832848842	0.999999691626581
GJA4	0	0	0	0	1	0	0	0	473.508758602199	0.76606739565548	0.947216007186702	0.954611004360969	0.00210963628728666	0.933424016036939	0.988503080499225	0.99896660843649	1	0.0145154394134498	0.999999691626581
SH3GL3	0	0	0	0	1	0	0	0	454.459555669926	0.756526611422449	0.904846323365736	0.946287265164629	0.00219796565660316	0.933424016036939	0.988503080499225	0.99896660843649	1	0.014924230893161	0.999999691626581
KCNQ3	0	1	0	0	1	5.87436855359315	0	0	181.15913559351	0.17014568034386	0.878143388126919	0.385743112874326	0.00550460678200492	0.933424016036939	0.988503080499225	0.99896660843649	1	0.0151921472963562	0.999999691626581
MAP2K7	0	1	0	1	0	17.1679795588786	301.400774365984	301.400774365984	0	0.0511734316922537	0.00214220223592143	0.00226348707818225	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.0160500444055283	0.999999691626581
FOXF1	0	0	0	0	1	0	0	0	416.189277297722	0.775205773569958	0.962807298212644	0.959001177227124	0.00239983162237465	0.933424016036939	0.988503080499225	0.99896660843649	1	0.0162809016929808	0.999999691626581
MAT2A	0	0	0	0	1	0	0	0	399.373548922056	0.81555789474626	0.948662073665846	0.971146016343453	0.00250074909315351	0.933424016036939	0.988503080499225	0.99896660843649	1	0.017049796324792	0.999999691626581
GOT1L1	0	0	0	0	1	0	0	0	374.767595670934	0.796677702217517	0.936198137332766	0.964258877368592	0.00266471793042027	0.933424016036939	0.988503080499225	0.99896660843649	1	0.0178939792478189	0.999999691626581
TRIM31	0	0	0	0	1	0	0	0	371.248651110644	0.835987091843748	0.955828199243492	0.977297147376608	0.00268994148224636	0.933424016036939	0.988503080499225	0.99896660843649	1	0.0182475282513237	0.999999691626581
EEF1A1	0	0	0	0	1	0	0	0	341.580832339383	0.754554791979105	0.934291706809689	0.94907225727975	0.00292322870857088	0.933424016036939	0.988503080499225	0.99896660843649	1	0.0191079194019366	0.999999691626581
TCF7L2	0	0	0	0	1	0	0	0	331.555399105104	0.750699689560866	0.916292414182436	0.945543338331925	0.00301148513709459	0.933424016036939	0.988503080499225	0.99896660843649	1	0.0195375309101485	0.999999691626581
ZMPSTE24	0	0	0	0	1	0	0	0	332.251944061207	0.827894897695734	0.942605249818549	0.974117290358016	0.00300518136889479	0.933424016036939	0.988503080499225	0.99896660843649	1	0.0200047944935882	0.999999691626581
TNIK	0	1	0	0	1	6.70859814960948	0	0	116.202737232281	0.146827471773456	0.838007374317986	0.341861051414829	0.00856825506130329	0.933424016036939	0.988503080499225	0.99896660843649	1	0.0200150235608734	0.999999691626581
ANTXR2	0	0	0	0	1	0	0	0	323.419070292708	0.774537274050203	0.919222767161034	0.954881850740905	0.00308712720676086	0.933424016036939	0.988503080499225	0.99896660843649	1	0.0201239781195508	0.999999691626581
AGXT2	0	0	0	0	1	0	0	0	307.091117229387	0.71155545615407	0.895441517429278	0.925889848833715	0.00325099841742006	0.933424016036939	0.988503080499225	0.99896660843649	1	0.0204858894511853	0.999999691626581
