sample	21+
PD62075c	79.7
PD62030a	79
PD62040c	78.74
PD62078c	78.72
PD62062f	78.51
PD62050c	78.25
PD62048b	78.04
PD62040b	77.92
PD62081a	77.83
PD62068a	77.79
PD62078a	77.09
PD62078b	76.7
PD62036c	76.3
PD62041b	76.1
PD62062c	76.03
PD62080a	75.77
PD62042b	75.56
PD62049a	74.33
PD62055b	74.33
PD62062e	74.05
PD62032a	73.43
PD62033c	73.36
PD62073a	73.17
PD62061b	73
PD62047f	72.69
PD62062h	72.61
PD62053b	72.19
PD62057c	71.61
PD62029b	71.6
PD62065a	71.27
PD62068d	71.15
PD62037e	70.63
PD62082c	70.44
PD62035b	70.37
PD62068b	70.28
