gistic_name	gistic_peak	residual.q.values	chrom	start	end	gistic_call	difficult_frac	peak_size	ascat_agree	ascat_disagree	concordance	qc_status	qc_and_max_10Mb	samples
Amplification Peak 1	chr8:125426699-129759393	0.017098	chr8	125426699	129759393	gain	0.117138436270828	4332694	8	0	1	PASS	PASS	PD62031c,PD62033d,PD62034c,PD62038d,PD62039c,PD62040c,PD62042c,PD62047h
Amplification Peak 2	chr10:77782504-82242712	0.017098	chr10	77782504	82242712	gain	0.217842755315447	4460208	4	0	1	PASS	PASS	PD62029d,PD62038e,PD62047h,PD62051c
Amplification Peak 3	chr14:22124031-22490614	0.017098	chr14	22124031	22490614	gain	0.100689339112834	366583	8	0	1	PASS	PASS	PD62027c,PD62038d,PD62039c,PD62040c,PD62045a,PD62047h,PD62048a,PD62051c
Deletion Peak 1	chr1:160646665-160833944	0.20953	chr1	160646665	160833944	loss	0.143619946710523	187279	5	0	1	FAIL	FAIL	PD62027c,PD62038d,PD62041d,PD62045a,PD62051c
Deletion Peak 2	chr5:146083459-157350674	0.21045	chr5	146083459	157350674	loss	0.11634649733763	11267215	7	1	0.875	FAIL	FAIL	PD62028c,PD62036c,PD62038d,PD62039c,PD62041d,PD62042c,PD62045a,PD62051c
Deletion Peak 3	chr6:25963554-26365198	1.5113e-08	chr6	25963554	26365198	loss	0.114081126569798	401644	9	0	1	PASS	PASS	PD62027c,PD62031c,PD62036c,PD62037d,PD62037e,PD62040c,PD62045a,PD62046c,PD62048a
Deletion Peak 4	chr7:142762885-142883565	0.21737	chr7	142762885	142883565	loss	0.172414650314882	120680	1	0	1	FAIL	FAIL	PD62051c
Deletion Peak 5	chr9:10616059-13410203	2.8774e-05	chr9	10616059	13410203	loss	0.178766377108696	2794144	4	0	1	PASS	PASS	PD62037d,PD62037e,PD62042c,PD62047h
Deletion Peak 6	chr14:21663172-22607178	0.0088137	chr14	21663172	22607178	loss	0.106532161871853	944006	4	4	0.5	FAIL	FAIL	PD62027c,PD62037d,PD62037e,PD62038d,PD62041d,PD62045a,PD62048a,PD62051c
Deletion Peak 7	chr14:105663560-105920801	0.0010382	chr14	105663560	105920801	loss	0.625110305122434	257241	6	0	1	FAIL	FAIL	PD62037d,PD62037e,PD62038d,PD62041d,PD62042c,PD62051c
Deletion Peak 8	chr15:81145649-81319295	0.0023656	chr15	81145649	81319295	loss	0.12276124989922	173646	4	2	0.666666666666667	FAIL	FAIL	PD62028c,PD62038d,PD62038e,PD62041d,PD62045a,PD62051c
Deletion Peak 9	chr17:8451774-11242097	0.031892	chr17	8451774	11242097	loss	0.10794771788069	2790323	8	0	1	PASS	PASS	PD62034c,PD62036c,PD62037d,PD62037e,PD62038d,PD62041d,PD62042c,PD62047h
