cytoband	6p22.2	17q21.2	17p13.1	14q32.33	15q25.1	12p13.31	5q33.3	1p36.33	1q23.3	1p13.1	11p15.4	9p22.1	5q31.2	11q22.3	19p13.3	19q13.43	
q value	9.7209e-09	0.00019142	0.0011406	0.0011972	0.0033132	0.0042587	0.011213	0.015956	0.033205	0.099327	0.09493	0.13074	0.13731	0.13731	0.13998	0.19434	
residual q value	9.7209e-09	0.00019142	0.0011406	0.0011972	0.0033132	0.0042587	0.011213	0.015956	0.032499	0.098411	0.098411	0.13003	0.13731	0.13731	0.13731	0.19131	
wide peak boundaries	chr6:26174620-26285436	chr17:41130861-41349437	chr17:8127812-8205458	chr14:105671208-105919428	chr15:81195643-81322584	chr12:6936741-6971023	chr5:157055474-157492852	chr1:1-30726027	chr1:160578601-160801970	chr1:116549480-116763935	chr11:6600883-6719547	chr9:18899314-19069594	chr5:139622839-139858012	chr11:108092537-108384626	chr19:3936472-3976600	chr19:58488848-58617616	
genes in wide peak	HIST1H1D	KRTAP9-9	PER1	MIR4507	IL16	PTPN6	ITK	hsa-mir-551a	CD48	IGSF3	TPP1	RRAGA	CXXC5	ACAT1	DAPK3	MZF1	
	HIST1H2AE	KRTAP4-6	VAMP2	MIR4538		PHB2	MED7	ALPL	SLAMF1	C1orf137	ILK	SAXO1	PSD2	ATM	MIR637	UBE2M	
	HIST1H2AD	KRTAP9-2	BORCS6	MIR4539		C12orf57	CYFIP2	RERE	SLAMF7	MIR320B1	TAF10	SCARNA8	LOC101929696	NPAT		TRIM28	
	HIST1H2BG	KRTAP9-3	TMEM107	MIR4537		MIR141	HAVCR2	C1QA		MIR548AC	DCHS1					SLC27A5	
	HIST1H2BF	KRTAP9-8	SNORD118			MIR200C	FAM71B	C1QB			MRPL17					CHMP2A	
	HIST1H2BE	KRTAP17-1	MIR4521			SCARNA12	NIPAL4	C1QC								CENPBD1P1	
	HIST1H2BH	KRTAP4-4	MIR6883			RNU7-1	FNDC9	CA6								ZBTB45	
	HIST1H2BI	KRTAP9-4				LOC105369635	LOC102724404	CAPZB								MZF1-AS1	
	HIST1H3D	KRTAP4-1						CASP9								MIR6807	
	HIST1H3E	KRTAP4-5						RUNX3									
	HIST1H3G	KRTAP4-3						TNFRSF8									
	HIST1H4D	KRTAP4-2						CDA									
	HIST1H4F	KRTAP9-1						CDK11B									
