Sample	chr	startpos	endpos	nMajor	nMinor	Sex	Purity	Ploidy	CN	Size
PD62052a	1	69511	248918428	1	1	M	0.81	2.02018720471308	neutral	248848918
PD62052a	2	41509	242004549	1	1	M	0.81	2.02018720471308	neutral	241963041
PD62052a	3	197664	198038561	1	1	M	0.81	2.02018720471308	neutral	197840898
PD62052a	4	85813	41689638	2	0	M	0.81	2.02018720471308	neutral	41603826
PD62052a	4	41689692	190025891	1	1	M	0.81	2.02018720471308	neutral	148336200
PD62052a	5	140238	181260906	1	1	M	0.81	2.02018720471308	neutral	181120669
PD62052a	6	203397	30948941	1	1	M	0.81	2.02018720471308	neutral	30745545
PD62052a	6	30949354	31032366	1	0	M	0.81	2.02018720471308	loss	83013
PD62052a	6	31032611	32641328	1	1	M	0.81	2.02018720471308	neutral	1608718
PD62052a	6	32641329	32661939	1	0	M	0.81	2.02018720471308	loss	20611
PD62052a	6	32661941	170584376	1	1	M	0.81	2.02018720471308	neutral	137922436
PD62052a	7	193222	101031599	1	1	M	0.81	2.02018720471308	neutral	100838378
PD62052a	7	101031847	101043826	1	0	M	0.81	2.02018720471308	loss	11980
PD62052a	7	101043850	159233344	1	1	M	0.81	2.02018720471308	neutral	58189495
PD62052a	8	232977	145054093	2	1	M	0.81	2.02018720471308	gain	144821117
PD62052a	9	154795	138177194	1	1	M	0.81	2.02018720471308	neutral	138022400
PD62052a	10	49156	133625894	1	1	M	0.81	2.02018720471308	neutral	133576739
PD62052a	11	197291	134986843	1	1	M	0.81	2.02018720471308	neutral	134789553
PD62052a	12	66973	133234349	1	1	M	0.81	2.02018720471308	neutral	133167377
PD62052a	13	19026300	114325924	1	1	M	0.81	2.02018720471308	neutral	95299625
PD62052a	14	19733402	106874913	1	1	M	0.81	2.02018720471308	neutral	87141512
PD62052a	15	19964758	101849608	1	1	M	0.81	2.02018720471308	neutral	81884851
PD62052a	16	47354	1760345	2	0	M	0.81	2.02018720471308	neutral	1712992
PD62052a	16	1760346	90094880	1	1	M	0.81	2.02018720471308	neutral	88334535
PD62052a	17	156162	43110694	1	1	M	0.81	2.02018720471308	neutral	42954533
PD62052a	17	43115615	83135891	2	0	M	0.81	2.02018720471308	neutral	40020277
PD62052a	18	120645	80202756	1	1	M	0.81	2.02018720471308	neutral	80082112
PD62052a	19	281360	58572521	1	1	M	0.81	2.02018720471308	neutral	58291162
PD62052a	20	87623	64273629	1	1	M	0.81	2.02018720471308	neutral	64186007
PD62052a	21	9068512	44601173	1	1	M	0.81	2.02018720471308	neutral	35532662
PD62052a	21	44601242	44773745	1	0	M	0.81	2.02018720471308	loss	172504
PD62052a	21	44774556	46664392	1	1	M	0.81	2.02018720471308	neutral	1889837
PD62052a	22	16572142	50780662	1	1	M	0.81	2.02018720471308	neutral	34208521
PD62052a	X	284193	2774703	2	0	M	0.81	2.02018720471308	gain	2490511
PD62052a	X	2781927	155524613	1	0	M	0.81	2.02018720471308	neutral	152742687
PD62052a	X	155773979	156005528	2	0	M	0.81	2.02018720471308	gain	231550
PD62053a	1	69511	152220502	1	1	M	0.38	1.99026418322691	neutral	152150992
PD62053a	1	152220573	152313446	2	2	M	0.38	1.99026418322691	gain	92874
PD62053a	1	152313449	248294727	1	1	M	0.38	1.99026418322691	neutral	95981279
PD62053a	1	248295415	248918428	2	1	M	0.38	1.99026418322691	gain	623014
PD62053a	2	41509	242004549	1	1	M	0.38	1.99026418322691	neutral	241963041
PD62053a	3	197664	198038561	1	1	M	0.38	1.99026418322691	neutral	197840898
PD62053a	4	85813	190025891	1	1	M	0.38	1.99026418322691	neutral	189940079
PD62053a	5	140238	181260906	1	1	M	0.38	1.99026418322691	neutral	181120669
PD62053a	6	203397	170584567	1	1	M	0.38	1.99026418322691	neutral	170381171
PD62053a	7	193222	159233344	1	1	M	0.38	1.99026418322691	neutral	159040123
PD62053a	8	232977	145054093	1	1	M	0.38	1.99026418322691	neutral	144821117
PD62053a	9	154795	138175500	1	1	M	0.38	1.99026418322691	neutral	138020706
PD62053a	10	49134	133419591	1	1	M	0.38	1.99026418322691	neutral	133370458
PD62053a	10	133419650	133625894	2	0	M	0.38	1.99026418322691	neutral	206245
PD62053a	11	197291	124015613	1	1	M	0.38	1.99026418322691	neutral	123818323
PD62053a	11	124015974	124038946	3	3	M	0.38	1.99026418322691	gain	22973
