chr	size	n_bins	cum_bins
1	248956422	2490	2490
2	242193529	2422	4912
3	198295559	1983	6895
4	190214555	1903	8798
5	181538259	1816	10614
6	170805979	1709	12323
7	159345973	1594	13917
8	145138636	1452	15369
9	138394717	1384	16753
10	133797422	1338	18091
11	135086622	1351	19442
12	133275309	1333	20775
13	114364328	1144	21919
14	107043718	1071	22990
15	101991189	1020	24010
16	90338345	904	24914
17	83257441	833	25747
18	80373285	804	26551
19	58617616	587	27138
20	64444167	645	27783
21	46709983	468	28251
22	50818468	509	28760
